              Procedure,          Image,           Address,       Calls,Instructions
               _dl_addr,      libc.so.6,      7f1bf20cf0d0,           1,       66223
                 __sbrk,      libc.so.6,      7f1bf208b720,           2,          49
                    brk,      libc.so.6,      7f1bf208b6c0,           2,          20
                  write,      libc.so.6,      7f1bf2085860,           3,          27
               __fxstat,      libc.so.6,      7f1bf2084e50,           1,          10
                  _Exit,      libc.so.6,      7f1bf2061d40,           1,           8
     __default_morecore,      libc.so.6,      7f1bf2021100,           2,          14
          __libc_malloc,      libc.so.6,      7f1bf201f610,           2,          91
     _IO_default_xsputn,      libc.so.6,      7f1bf2018a00,           1,         128
         _IO_doallocbuf,      libc.so.6,      7f1bf20188d0,           1,          25
               _IO_setb,      libc.so.6,      7f1bf2018870,           1,          18
             __overflow,      libc.so.6,      7f1bf20185d0,           1,          17
      _IO_file_overflow,      libc.so.6,      7f1bf2017a30,          10,         317
           _IO_do_write,      libc.so.6,      7f1bf2017740,           4,          37
        _IO_file_xsputn,      libc.so.6,      7f1bf2016bd0,          13,        1027
         _IO_file_write,      libc.so.6,      7f1bf20165e0,           3,         108
          _IO_file_stat,      libc.so.6,      7f1bf20165d0,           1,           4
        _IO_file_setbuf,      libc.so.6,      7f1bf20158c0,           1,          15
          _IO_file_sync,      libc.so.6,      7f1bf20157c0,           1,          17
    _IO_file_doallocate,      libc.so.6,      7f1bf200a880,           1,          63
             _IO_printf,      libc.so.6,      7f1bf1ff3700,           3,          81
               vfprintf,      libc.so.6,      7f1bf1feab90,           3,        1309
                cuserid,      libc.so.6,      7f1bf1fe7d40,           0,         240
       __call_tls_dtors,      libc.so.6,      7f1bf1fd55a0,           1,          11
         __cxa_finalize,      libc.so.6,      7f1bf1fd5280,           1,          58
           __cxa_atexit,      libc.so.6,      7f1bf1fd5270,           1,           2
                   exit,      libc.so.6,      7f1bf1fd4f50,           1,           5
                _setjmp,      libc.so.6,      7f1bf1fd24f0,           1,           2
            __sigsetjmp,      libc.so.6,      7f1bf1fd2450,           1,          26
           __ctype_init,      libc.so.6,      7f1bf1fcb580,           1,          16
      __libc_start_main,      libc.so.6,      7f1bf1fbefb0,           1,          56
                  _init,      libc.so.6,      7f1bf1fbee20,           1,         105
               .plt.got,      libc.so.6,      7f1bf1fbd300,           0,           1
                   @plt,      libc.so.6,      7f1bf1fbd2b0,           1,           1
                   @plt,      libc.so.6,      7f1bf1fbd260,          12,          12
_dl_find_dso_for_object@plt,      libc.so.6,      7f1bf1fbd1d0,           1,           3
  __tunable_get_val@plt,      libc.so.6,      7f1bf1fbd120,          11,          13
                   @plt,      libc.so.6,      7f1bf1fbd070,           8,           8
                   .plt,      libc.so.6,      7f1bf1fbd000,           2,           4
    _dl_catch_exception,ld-linux-x86-64.so.2,      7f1c058b6570,           2,          62
                   free,ld-linux-x86-64.so.2,      7f1c058b5f60,           7,          28
                 calloc,ld-linux-x86-64.so.2,      7f1c058b5f20,           9,          72
                 malloc,ld-linux-x86-64.so.2,      7f1c058b5df0,          18,         355
      __tunable_get_val,ld-linux-x86-64.so.2,      7f1c058b3a90,          17,         356
_dl_find_dso_for_object,ld-linux-x86-64.so.2,      7f1c058afa80,           1,          41
  _dl_allocate_tls_init,ld-linux-x86-64.so.2,      7f1c058aee30,           1,          84
        _dl_debug_state,ld-linux-x86-64.so.2,      7f1c058ac910,           2,           2
                  .text,ld-linux-x86-64.so.2,      7f1c0589e090,           1,        4504
               .plt.got,ld-linux-x86-64.so.2,      7f1c0589e080,           7,           7
             calloc@plt,ld-linux-x86-64.so.2,      7f1c0589e040,           9,           9
             malloc@plt,ld-linux-x86-64.so.2,      7f1c0589e020,          18,          18
_dl_catch_exception@plt,ld-linux-x86-64.so.2,      7f1c0589e010,           2,           2
                  _fini,           prog,      55d14d5eb234,           1,           3
        __libc_csu_init,           prog,      55d14d5eb1d0,           1,          33
                   main,           prog,      55d14d5eb135,           1,          36
            frame_dummy,           prog,      55d14d5eb130,           1,           1
  __do_global_dtors_aux,           prog,      55d14d5eb0f0,           1,          12
     register_tm_clones,           prog,      55d14d5eb0b0,           1,          10
   deregister_tm_clones,           prog,      55d14d5eb080,           1,           5
                 _start,           prog,      55d14d5eb050,           1,          11
               .plt.got,           prog,      55d14d5eb040,           1,           1
             printf@plt,           prog,      55d14d5eb030,           3,           5
                   .plt,           prog,      55d14d5eb020,           1,           2
                  _init,           prog,      55d14d5eb000,           1,           6
